id,id_client,id_product,qtd,total,sale_date,usd_price_vigente,taxa_brl,custo_brl,lucro,margem_pct,ano,mes,ano_mes
1283,8,6,4,47281.0,2024-01-18,2104.66,4.9403,41590.61,5690.39,12.04,2024,1,2024-01
1314,7,7,14,273263.0,2024-02-14,3678.62,4.9723,256076.83,17186.17,6.29,2024,2,2024-02
1325,48,45,10,99037.0,2023-02-04,1900.9,5.103,97002.93,2034.07,2.05,2023,2,2023-02
1327,48,91,13,1753518.0,2023-10-28,27671.77,4.948,1779958.93,-26440.93,-1.51,2023,10,2023-10
1342,6,136,12,23682.0,2023-09-11,533.84,4.9366,31624.25,-7942.25,-33.54,2023,9,2023-09
1345,15,98,6,476167.0,2024-11-21,15850.04,5.8173,553226.63,-77059.63,-16.18,2024,11,2024-11
1379,8,28,12,162547.85,2024-11-09,2776.74,5.7648,192088.21,-29540.36,-18.17,2024,11,2024-11
1384,21,57,11,1306696.0,2023-01-04,22497.79,5.4459,1347727.86,-41031.86,-3.14,2023,1,2023-01
1385,5,26,11,180609.25,2024-08-06,3378.85,5.6528,210099.6,-29490.35,-16.33,2024,8,2024-08
1397,24,89,4,298976.4,2024-04-20,14832.32,5.2269,310108.21,-11131.81,-3.72,2024,4,2024-04
1405,24,53,5,254956.25,2024-12-20,9496.3,6.078,288592.56,-33636.31,-13.19,2024,12,2024-12
1447,10,84,11,453779.85,2024-03-09,8951.16,4.9751,489862.08,-36082.23,-7.95,2024,3,2024-03
1454,20,56,7,285874.95,2023-04-10,8087.59,5.0834,287787.19,-1912.24,-0.67,2023,4,2023-04
1479,21,104,2,7054.7,2024-03-20,742.54,5.012,7443.22,-388.52,-5.51,2024,3,2024-03
1489,30,26,6,103699.0,2024-08-28,3378.85,5.5315,112140.65,-8441.65,-8.14,2024,8,2024-08
1518,16,144,6,13285.0,2024-04-12,444.87,5.1364,13710.18,-425.18,-3.2,2024,4,2024-04
1521,49,7,7,136631.0,2023-06-22,3678.62,4.775,122957.87,13673.13,10.01,2023,6,2023-06
1557,41,57,8,950325.0,2023-08-19,22497.79,4.9724,894944.09,55380.91,5.83,2023,8,2023-08
1580,33,134,2,8963.25,2023-10-16,948.15,5.0618,9598.69,-635.44,-7.09,2023,10,2023-10
1591,36,106,7,29159.3,2023-01-09,837.06,5.2967,31035.59,-1876.29,-6.43,2023,1,2023-01
1609,7,108,8,25425.8,2024-10-11,688.83,5.6263,31004.51,-5578.71,-21.94,2024,10,2024-10
1620,35,135,3,4687.3,2024-11-15,328.1,5.7885,5697.62,-1010.32,-21.55,2024,11,2024-11
1633,12,92,4,337645.2,2024-10-14,16239.74,5.6045,364062.49,-26417.29,-7.82,2024,10,2024-10
1655,34,63,9,1196638.05,2024-08-04,27618.14,5.7366,1425908.0,-229269.95,-19.16,2024,8,2024-08
1663,10,48,12,176836.0,2023-10-26,3020.3,5.0055,181417.34,-4581.34,-2.59,2023,10,2023-10
1672,41,8,3,14204.4,2024-06-04,947.05,5.2687,14969.17,-764.77,-5.38,2024,6,2024-06
1736,26,7,6,111257.35,2023-01-22,3678.62,5.1986,114742.04,-3484.69,-3.13,2023,1,2023-01
1752,27,97,5,676675.0,2023-05-21,25607.88,4.9858,638378.84,38296.16,5.66,2023,5,2023-05
1768,37,28,11,149001.8,2024-03-09,2921.84,4.9751,159900.91,-10899.11,-7.31,2024,3,2024-03
1772,2,47,13,79598.0,2023-11-03,1496.29,4.891,95138.61,-15540.61,-19.52,2023,11,2023-11
1809,3,78,1,115673.9,2023-10-21,25349.04,5.0528,128083.63,-12409.73,-10.73,2023,10,2023-10
1813,5,124,12,45239.0,2023-06-04,725.63,4.9558,43152.93,2086.07,4.61,2023,6,2023-06
1829,15,21,1,8298.25,2023-09-29,1674.22,5.0076,8383.82,-85.57,-1.03,2023,9,2023-09
1830,46,51,4,256636.0,2023-03-14,12243.38,5.2362,256435.15,200.85,0.08,2023,3,2023-03
1839,10,114,13,9871.45,2023-01-08,144.69,5.2855,9941.87,-70.42,-0.71,2023,1,2023-01
1841,31,118,1,4315.0,2024-12-13,787.87,6.04,4758.73,-443.73,-10.28,2024,12,2024-12
1864,32,129,11,34131.6,2024-02-09,661.98,4.9717,36202.83,-2071.23,-6.07,2024,2,2024-02
1894,19,30,7,214448.25,2024-01-16,6558.44,4.9038,225128.95,-10680.7,-4.98,2024,1,2024-01
1911,34,77,11,467163.45,2024-04-15,8959.75,5.1746,509994.35,-42830.9,-9.17,2024,4,2024-04
1918,25,22,12,473434.0,2024-09-25,7630.67,5.4736,501206.82,-27772.82,-5.87,2024,9,2024-09
1926,44,11,11,378623.45,2024-12-30,7246.24,6.1923,493579.81,-114956.36,-30.36,2024,12,2024-12
1943,6,101,14,6488.0,2024-05-05,96.64,5.0668,6855.18,-367.18,-5.66,2024,5,2024-05
1996,40,115,8,6645.0,2023-03-13,160.69,5.24,6736.12,-91.12,-1.37,2023,3,2023-03
2004,49,79,13,859909.0,2024-05-18,13344.4,5.1157,887457.31,-27548.31,-3.2,2024,5,2024-05
2030,13,82,2,98104.6,2023-05-27,9770.29,5.0114,97925.66,178.94,0.18,2023,5,2023-05
2066,38,26,3,49257.5,2023-12-07,3412.88,4.8949,50117.12,-859.62,-1.75,2023,12,2023-12
2101,43,7,1,18543.05,2023-08-13,3678.62,4.8918,17995.07,547.98,2.96,2023,8,2023-08
2106,31,96,5,335448.8,2024-03-20,14776.4,5.012,370296.58,-34847.78,-10.39,2024,3,2024-03
2115,34,28,5,71293.0,2023-06-11,2723.39,4.8922,66616.84,4676.16,6.56,2023,6,2023-06
2116,48,4,12,38553.85,2024-11-26,679.13,5.799,47259.3,-8705.45,-22.58,2024,11,2024-11
2122,34,126,1,2543.15,2023-05-16,467.05,4.9122,2294.24,248.91,9.79,2023,5,2023-05
2142,44,31,15,118034.65,2024-03-11,1686.13,4.9777,125895.74,-7861.09,-6.66,2024,3,2024-03
2146,31,31,15,118034.65,2023-04-24,2418.07,5.0595,183513.38,-65478.73,-55.47,2023,4,2023-04
2153,22,136,4,7499.3,2023-10-06,533.84,5.1918,11086.36,-3587.06,-47.83,2023,10,2023-10
2163,44,101,2,880.65,2023-07-29,96.64,4.7253,913.31,-32.66,-3.71,2023,7,2023-07
2185,36,62,4,388443.6,2023-10-23,20000.78,5.0164,401327.65,-12884.05,-3.32,2023,10,2023-10
2191,37,126,1,2543.15,2023-12-26,467.05,4.8368,2259.03,284.12,11.17,2023,12,2023-12
2224,44,30,9,290231.0,2023-05-24,5636.75,4.9474,250985.31,39245.69,13.52,2023,5,2023-05
2228,10,127,3,4415.6,2023-01-13,293.17,5.1146,4498.34,-82.74,-1.87,2023,1,2023-01
2234,28,94,4,163003.0,2024-03-16,8022.13,4.9937,160240.44,2762.56,1.69,2024,3,2024-03
2246,7,109,15,8873.0,2024-01-28,169.23,4.9125,12470.14,-3597.14,-40.54,2024,1,2024-01
2260,46,46,2,9469.6,2024-04-06,1000.64,5.052,10110.47,-640.87,-6.77,2024,4,2024-04
2337,20,81,1,122148.0,2023-10-24,23345.09,5.0065,116877.19,5270.81,4.32,2023,10,2023-10
2349,13,42,1,5993.0,2023-06-14,1263.57,4.8462,6123.51,-130.51,-2.18,2023,6,2023-06
2356,47,34,3,14015.35,2023-06-25,960.12,4.7799,13767.83,247.52,1.77,2023,6,2023-06
2366,27,108,6,20073.0,2024-07-19,688.83,5.5543,22955.81,-2882.81,-14.36,2024,7,2024-07
2383,26,102,9,7488.0,2023-07-23,199.93,4.7732,8588.75,-1100.75,-14.7,2023,7,2023-07
2418,18,102,9,7113.6,2024-03-18,199.93,5.0124,9019.16,-1905.56,-26.79,2024,3,2024-03
2429,39,33,6,40295.0,2023-11-23,1268.8,4.8931,37250.19,3044.81,7.56,2023,11,2023-11
2447,15,129,3,9309.05,2024-11-24,661.98,5.8124,11543.08,-2234.03,-24.0,2024,11,2024-11
2455,35,111,13,52922.6,2024-08-12,860.37,5.4911,61416.91,-8494.31,-16.05,2024,8,2024-08
2477,35,18,4,106290.0,2023-07-10,4834.43,4.8735,94242.38,12047.62,11.33,2023,7,2023-07
2494,24,74,13,1068997.95,2024-10-09,17160.36,5.5737,1243407.08,-174409.13,-16.32,2024,10,2024-10
2498,17,47,4,23267.4,2023-03-19,1496.29,5.2679,31529.22,-8261.82,-35.51,2023,3,2023-03
2501,45,131,5,4577.1,2024-04-06,196.2,5.052,4956.01,-378.91,-8.28,2024,4,2024-04
2507,21,142,7,5495.75,2023-08-21,160.09,4.9847,5586.0,-90.25,-1.64,2023,8,2023-08
2508,18,73,6,816012.0,2024-11-22,25649.93,5.8124,894525.92,-78513.92,-9.62,2024,11,2024-11
2536,49,24,13,302018.0,2023-07-06,4129.65,4.8977,262935.23,39082.77,12.94,2023,7,2023-07
2544,40,67,13,1059495.1,2024-02-29,16720.73,4.9833,1083217.38,-23722.28,-2.24,2024,2,2024-02
2564,29,42,5,28465.8,2024-09-23,1263.57,5.5446,35029.95,-6564.15,-23.06,2024,9,2024-09
2589,7,88,4,183678.7,2023-04-07,9351.41,5.0683,189583.01,-5904.31,-3.21,2023,4,2023-04
2625,34,35,4,44022.0,2024-06-11,2106.85,5.3524,45106.82,-1084.82,-2.46,2024,6,2024-06
2626,45,50,10,112760.0,2023-03-05,2179.61,5.2037,113420.37,-660.37,-0.59,2023,3,2023-03
2695,35,107,11,16647.0,2024-12-26,311.59,6.1656,21132.53,-4485.53,-26.94,2024,12,2024-12
2716,32,8,13,64794.0,2023-11-17,1006.07,4.8849,63889.17,904.83,1.4,2023,11,2023-11
2719,24,128,8,35345.7,2023-11-22,853.09,4.8968,33419.29,1926.41,5.45,2023,11,2023-11
2723,5,108,15,50183.0,2024-10-28,688.83,5.6988,58882.57,-8699.57,-17.34,2024,10,2024-10
2728,10,89,13,1022815.0,2024-10-17,14122.53,5.6758,1042036.53,-19221.53,-1.88,2024,10,2024-10
2737,22,82,10,516340.0,2024-10-01,9770.29,5.4521,532685.98,-16345.98,-3.17,2024,10,2024-10
2774,30,49,7,88207.5,2024-05-18,2627.0,5.1157,94072.61,-5865.11,-6.65,2024,5,2024-05
2778,42,114,10,7993.0,2024-10-30,152.46,5.7801,8812.34,-819.34,-10.25,2024,10,2024-10
2793,11,32,13,154405.4,2023-11-04,2560.62,4.891,162811.9,-8406.5,-5.44,2023,11,2023-11
2796,6,11,13,471015.0,2024-08-31,7246.24,5.6562,532820.37,-61805.37,-13.12,2024,8,2024-08
2837,10,148,4,19142.0,2024-02-26,979.78,4.9819,19524.66,-382.66,-2.0,2024,2,2024-02
2840,45,3,8,72194.0,2023-05-01,1753.77,5.0007,70160.62,2033.38,2.82,2023,5,2023-05
2846,16,26,4,65676.35,2024-10-03,3378.85,5.485,74131.97,-8455.62,-12.87,2024,10,2024-10
2849,29,17,11,154427.0,2023-02-04,2706.74,5.103,151937.44,2489.56,1.61,2023,2,2023-02
2859,24,8,9,42614.15,2023-08-16,1006.07,4.9772,45066.7,-2452.55,-5.76,2023,8,2023-08
2868,42,64,6,669033.0,2024-11-06,21352.22,5.7648,738547.67,-69514.67,-10.39,2024,11,2024-11
2873,28,49,10,132642.0,2024-11-08,2352.61,5.7648,135623.26,-2981.26,-2.25,2024,11,2024-11
2886,21,147,6,18180.0,2024-08-01,592.19,5.6681,20139.55,-1959.55,-10.78,2024,8,2024-08
2908,41,148,12,54555.65,2023-01-17,901.95,5.1203,55419.06,-863.41,-1.58,2023,1,2023-01
2922,41,94,13,503272.95,2023-03-04,7181.14,5.2037,485790.48,17482.47,3.47,2023,3,2023-03
2936,32,130,10,41441.0,2024-11-11,752.23,5.798,43614.3,-2173.3,-5.24,2024,11,2024-11
2938,38,60,14,1522515.0,2024-03-01,22370.78,4.9596,1553301.69,-30786.69,-2.02,2024,3,2024-03
2939,29,83,1,128063.8,2024-11-01,35839.7,5.8073,208131.89,-80068.09,-62.52,2024,11,2024-11
2945,4,56,13,558854.0,2024-10-12,8087.59,5.6263,591541.7,-32687.7,-5.85,2024,10,2024-10
2946,23,3,9,77157.1,2024-12-03,1753.77,6.0707,95819.5,-18662.4,-24.19,2024,12,2024-12
2952,26,75,14,458757.0,2023-02-08,6193.58,5.2036,451204.78,7552.22,1.65,2023,2,2023-02
2955,20,130,2,8288.0,2024-11-13,752.23,5.7713,8682.69,-394.69,-4.76,2024,11,2024-11
2956,42,133,8,14384.9,2023-09-18,348.47,4.8535,13530.39,854.51,5.94,2023,9,2023-09
2968,13,81,1,116040.6,2023-03-28,23345.09,5.1733,120771.15,-4730.55,-4.08,2023,3,2023-03
2990,12,4,3,10146.0,2023-08-23,654.31,4.8977,9613.84,532.16,5.25,2023,8,2023-08
2995,44,16,3,90018.0,2024-05-11,6212.42,5.1464,95914.79,-5896.79,-6.55,2024,5,2024-05
3001,15,149,15,17454.0,2024-11-28,225.94,5.9871,20290.88,-2836.88,-16.25,2024,11,2024-11
3021,46,39,12,355594.0,2024-02-18,5270.87,4.9761,314740.51,40853.49,11.49,2024,2,2024-02
3027,5,53,6,305947.5,2024-09-24,9496.3,5.4702,311679.96,-5732.46,-1.87,2024,9,2024-09
3054,45,65,13,332250.0,2024-07-02,4996.52,5.6677,368144.09,-35894.09,-10.8,2024,7,2024-07
3073,44,116,13,31807.9,2023-05-08,502.24,4.9696,32447.11,-639.21,-2.01,2023,5,2023-05
3075,13,148,11,52641.0,2023-03-28,919.03,5.1733,52298.6,342.4,0.65,2023,3,2023-03
3082,37,37,8,48542.0,2024-11-18,1211.89,5.7603,55846.8,-7304.8,-15.05,2024,11,2024-11
3096,29,62,3,291332.7,2023-05-13,20000.78,4.9234,295415.52,-4082.82,-1.4,2023,5,2023-05
3097,39,82,11,539575.3,2023-11-11,9770.29,4.9219,528972.29,10603.01,1.97,2023,11,2023-11
3119,8,6,2,23640.0,2023-07-26,2104.66,4.7368,19938.71,3701.29,15.66,2023,7,2023-07
3121,26,132,3,4689.0,2024-03-01,314.46,4.9596,4678.79,10.21,0.22,2024,3,2024-03
3122,45,123,4,11108.0,2023-11-13,535.37,4.9247,10546.15,561.85,5.06,2023,11,2023-11
3139,41,18,5,126218.9,2023-04-09,4834.43,5.0683,122511.71,3707.19,2.94,2023,4,2023-04
3149,49,68,5,334486.0,2024-06-07,13317.89,5.2802,351605.61,-17119.61,-5.12,2024,6,2024-06
3151,9,58,10,1033833.7,2023-10-28,20157.55,4.948,997395.57,36438.13,3.52,2023,10,2023-10
3165,6,47,6,34901.1,2023-12-29,1496.29,4.8413,43463.93,-8562.83,-24.53,2023,12,2023-12
3175,6,22,15,591793.0,2023-05-05,7630.67,4.9696,568820.66,22972.34,3.88,2023,5,2023-05
3196,35,20,3,92500.0,2023-03-20,5689.04,5.2467,89546.06,2953.94,3.19,2023,3,2023-03
3233,35,134,11,51894.0,2024-03-11,948.15,4.9777,51915.67,-21.67,-0.04,2024,3,2024-03
3246,30,120,14,41555.85,2024-02-22,635.45,4.9419,43964.62,-2408.77,-5.8,2024,2,2024-02
3259,32,68,14,889731.05,2023-02-05,11988.94,5.103,856513.85,33217.2,3.73,2023,2,2023-02
3261,4,124,15,56549.0,2024-01-20,725.63,4.9223,53576.53,2972.47,5.26,2024,1,2024-01
3303,47,22,2,78906.0,2024-03-22,7630.67,4.9897,76149.51,2756.49,3.49,2024,3,2024-03
3328,43,69,2,90530.0,2023-06-26,9219.51,4.7698,87950.44,2579.56,2.85,2023,6,2023-06
3331,5,133,14,26498.0,2024-09-12,381.67,5.6554,30218.95,-3720.95,-14.04,2024,9,2024-09
3332,2,47,15,87251.8,2023-10-08,1496.29,5.1918,116526.58,-29274.78,-33.55,2023,10,2023-10
3397,27,8,2,9469.6,2024-06-03,947.05,5.2373,9919.97,-450.37,-4.76,2024,6,2024-06
3404,28,127,10,14719.3,2024-10-07,296.24,5.4626,16182.41,-1463.11,-9.94,2024,10,2024-10
3414,40,138,8,33464.0,2023-07-22,836.88,4.7732,31956.76,1507.24,4.5,2023,7,2023-07
3437,33,137,3,10156.0,2023-11-28,619.79,4.8867,9086.18,1069.82,10.53,2023,11,2023-11
3439,16,150,11,17196.9,2023-10-15,326.88,5.0625,18203.13,-1006.23,-5.85,2023,10,2023-10
3454,31,40,15,212761.0,2024-12-14,2867.26,6.04,259773.76,-47012.76,-22.1,2024,12,2024-12
3482,14,63,4,559831.0,2024-08-01,27618.14,5.6681,626169.52,-66338.52,-11.85,2024,8,2024-08
3484,27,101,13,6024.0,2023-01-29,87.95,5.0767,5804.44,219.56,3.64,2023,1,2023-01
3501,25,59,7,579654.85,2023-05-20,16694.98,4.9858,582664.82,-3009.97,-0.52,2023,5,2023-05
3516,11,5,9,202369.95,2024-02-08,4752.24,4.9804,213012.5,-10642.55,-5.26,2024,2,2024-02
3517,10,18,8,212580.0,2024-10-10,5265.1,5.5819,235114.09,-22534.09,-10.6,2024,10,2024-10
3533,38,42,12,68318.3,2024-08-03,1263.57,5.7366,86983.15,-18664.85,-27.32,2024,8,2024-08
3540,9,111,11,47138.0,2024-04-09,860.37,5.008,47396.06,-258.06,-0.55,2024,4,2024-04
3572,2,112,11,23990.0,2024-08-21,406.44,5.4707,24458.62,-468.62,-1.95,2024,8,2024-08
3582,32,61,6,159706.4,2023-04-25,5396.92,5.0613,163892.59,-4186.19,-2.62,2023,4,2023-04
3625,18,141,6,28691.0,2024-10-05,972.86,5.4686,31921.09,-3230.09,-11.26,2024,10,2024-10
3632,36,98,3,238083.0,2023-07-31,15262.93,4.7415,217107.55,20975.45,8.81,2023,7,2023-07
3671,7,20,1,29291.35,2024-06-27,5689.04,5.5229,31420.0,-2128.65,-7.27,2024,6,2024-06
3683,12,48,11,162100.0,2023-07-28,2836.04,4.7253,147412.54,14687.46,9.06,2023,7,2023-07
3695,38,6,1,11820.0,2024-09-17,2172.43,5.501,11950.54,-130.54,-1.1,2024,9,2024-09
3707,25,119,6,19535.0,2024-10-07,669.88,5.4626,21955.72,-2420.72,-12.39,2024,10,2024-10
3716,16,84,4,173696.0,2024-07-22,8456.45,5.5598,188064.68,-14368.68,-8.27,2024,7,2024-07
3737,23,91,1,128141.7,2024-03-14,27671.77,4.9768,137716.86,-9575.16,-7.47,2024,3,2024-03
3741,43,88,15,725047.0,2024-12-01,9896.1,6.0535,898590.62,-173543.62,-23.94,2024,12,2024-12
3773,8,48,15,209992.75,2023-04-21,2836.04,5.0497,214817.27,-4824.52,-2.3,2023,4,2023-04
3808,4,34,7,32701.85,2024-03-12,1022.84,4.9813,35665.51,-2963.66,-9.06,2024,3,2024-03
